n_calls: 14400, eval_calls: 1
n_calls: 28800, eval_calls: 2
n_calls: 43200, eval_calls: 3
n_calls: 57600, eval_calls: 4
n_calls: 72000, eval_calls: 5
n_calls: 158400, eval_calls: 11
n_calls: 201600, eval_calls: 14
n_calls: 216000, eval_calls: 15
n_calls: 230400, eval_calls: 16
n_calls: 273600, eval_calls: 19
n_calls: 331200, eval_calls: 23
n_calls: 489600, eval_calls: 34
n_calls: 504000, eval_calls: 35
n_calls: 532800, eval_calls: 37
n_calls: 547200, eval_calls: 38
n_calls: 648000, eval_calls: 45
n_calls: 748800, eval_calls: 52
n_calls: 792000, eval_calls: 55
